,label,real duration,memory usage,steps,elapsed,nx,ny,solver,tolerence,free energy at elapsed,cvar_Interpolated_Function,dt,dx,dy,sweeps,L1,L2,Linf
42,e294583f95a6,123649.59015798569,357.707031,1913,3000.0,200,200,LU,0.1,420387.381118,,0.577212021417,1.0,1.0,4,12932.724325370751,61.841684843364384,0.39694753322716675
55,3ea82cfb13ea,91237.32775306702,357.707031,25,1.0,200,200,LU,0.1,2283.98454445,,0.0165294056612,1.0,1.0,8,5.5424326636819981,0.041164197327011563,0.0015588435991205074
56,3ea82cfb13ea,91237.32775306702,357.707031,42,5.0,200,200,LU,0.1,15162.2985061,,0.104952481839,1.0,1.0,8,22.157009618382887,0.12957820197869577,0.0043159698382742029
57,3ea82cfb13ea,91237.32775306702,357.707031,50,10.0,200,200,LU,0.1,242802.774063,,0.276794734012,1.0,1.0,8,130.0367655648725,0.54683742959555504,0.010591397686265824
58,3ea82cfb13ea,91237.32775306702,357.707031,58,20.0,200,200,LU,0.1,1722837.58892,,1.45204747713,1.0,1.0,8,487.33988323984101,1.5273193360711299,0.0255387496356142
59,3ea82cfb13ea,91237.32775306702,357.707031,95,100.0,200,200,LU,0.1,806423.693586,,2.18424417261,1.0,1.0,8,1844.6021813394193,14.144662428197281,0.37072909612365595
60,3ea82cfb13ea,91237.32775306702,357.707031,127,200.0,200,200,LU,0.1,621823.353033,,1.8482713782,1.0,1.0,8,2791.1942728335453,20.08149800259838,0.38483720711099662
61,3ea82cfb13ea,91237.32775306702,357.707031,213,500.0,200,200,LU,0.1,553779.823965,,3.57284060247,1.0,1.0,8,5304.8101162870789,32.131332841099457,0.39376824294166707
62,3ea82cfb13ea,91237.32775306702,357.707031,361,1000.0,200,200,LU,0.1,521271.870481,,2.71307523448,1.0,1.0,8,8329.6365933070338,44.640783927683273,0.39632315671461749
63,3ea82cfb13ea,91237.32775306702,357.707031,722,2000.0,200,200,LU,0.1,446116.46289,,3.92993687477,1.0,1.0,8,10834.001178058896,54.103414097164361,0.39643991670200851
64,3ea82cfb13ea,91237.32775306702,357.707031,953,3000.0,200,200,LU,0.1,420583.733368,,4.63852241667,1.0,1.0,8,12944.231917678888,61.879832702010091,0.39694568157401472
65,43a9f66996e8,638877.4941170216,1120.996094,25,1.0,400,400,LU,0.1,2308.8163544,,0.0165294056612,0.5,0.5,8,0.0,0.0,0.0
66,43a9f66996e8,638877.4941170216,1120.996094,42,5.0,400,400,LU,0.1,15464.5509144,,0.104952481839,0.5,0.5,8,0.0,0.0,0.0
67,43a9f66996e8,638877.4941170216,1120.996094,50,10.0,400,400,LU,0.1,255010.312732,,0.276794734012,0.5,0.5,8,0.0,0.0,0.0
68,43a9f66996e8,638877.4941170216,1120.996094,58,20.0,400,400,LU,0.1,1863462.23668,,1.45204747713,0.5,0.5,8,0.0,0.0,0.0
69,43a9f66996e8,638877.4941170216,1120.996094,95,100.0,400,400,LU,0.1,958790.556831,,1.84127605383,0.5,0.5,8,0.0,0.0,0.0
70,43a9f66996e8,638877.4941170216,1120.996094,128,200.0,400,400,LU,0.1,751584.329284,,1.97045950735,0.5,0.5,8,0.0,0.0,0.0
71,43a9f66996e8,638877.4941170216,1120.996094,216,500.0,400,400,LU,0.1,643974.884241,,3.53498330748,0.5,0.5,8,0.0,0.0,0.0
72,43a9f66996e8,638877.4941170216,1120.996094,352,1000.0,400,400,LU,0.1,591777.038291,,2.86594915333,0.5,0.5,8,0.0,0.0,0.0
73,43a9f66996e8,638877.4941170216,1120.996094,694,2000.0,400,400,LU,0.1,520833.359946,,1.42027871217,0.5,0.5,8,0.0,0.0,0.0
74,43a9f66996e8,638877.4941170216,1120.996094,930,3000.0,400,400,LU,0.1,455757.054164,,3.80891263873,0.5,0.5,8,0.0,0.0,0.0
75,2e8f28c2904c,8515.319347858429,150.066406,25,1.0,100,100,LU,0.1,2180.3712874,,0.0165294056612,2.0,2.0,8,24.736660506732115,0.17643503645508382,0.007239313699069938
76,2e8f28c2904c,8515.319347858429,150.066406,42,5.0,100,100,LU,0.1,13916.4603288,,0.104952481839,2.0,2.0,8,105.87402448820609,0.55518661549495707,0.017575646645444087
77,2e8f28c2904c,8515.319347858429,150.066406,50,10.0,100,100,LU,0.1,199296.633152,,0.276794734012,2.0,2.0,8,630.28920585429319,2.4841962782974907,0.042211652064260918
78,2e8f28c2904c,8515.319347858429,150.066406,59,20.0,100,100,LU,0.1,1323254.51752,,0.52615482928,2.0,2.0,8,2090.7447114072083,6.5756393615200146,0.090250810838704731
79,2e8f28c2904c,8515.319347858429,150.066406,98,100.0,100,100,LU,0.1,661193.489649,,2.20280811673,2.0,2.0,8,4806.9911390941752,22.735671267519361,0.3718557019141015
80,2e8f28c2904c,8515.319347858429,150.066406,151,200.0,100,100,LU,0.1,528265.983183,,2.60164811356,2.0,2.0,8,6469.7737576963127,31.095784545201777,0.37967146100909682
81,2e8f28c2904c,8515.319347858429,150.066406,256,500.0,100,100,LU,0.1,511095.530139,,1.39796022086,2.0,2.0,8,10646.37139018854,47.317767709736984,0.38767594369764613
82,2e8f28c2904c,8515.319347858429,150.066406,432,1000.0,100,100,LU,0.1,538029.849058,,2.7840534273,2.0,2.0,8,15230.014633652103,63.103027056495407,0.38974667331897556
83,2e8f28c2904c,8515.319347858429,150.066406,763,2000.0,100,100,LU,0.1,457549.152458,,2.78789931075,2.0,2.0,8,20865.437321701924,79.944857534830177,0.39446818377051057
84,2e8f28c2904c,8515.319347858429,150.066406,1016,3000.0,100,100,LU,0.1,448834.538153,,2.01260457687,2.0,2.0,8,20606.600851275569,80.460495332166417,0.39226645623286543
85,f1c316514546,590660.5963568687,1120.996094,25,1.0,400,400,LU,0.1,2308.8163544,,0.0165294056612,0.5,0.5,6,1.432251817146124e-09,4.3499995924637905e-12,3.5860203695392556e-14
