,label,steps,elapsed,nx,ny,solver,cvar_Interpolated_Function,dt,dx,dy,sweeps,L1,L2,Linf
6,a45690313727,26,1.0,100,100,LU,,0.0165294056612,2.0,2.0,2,24.736660495890824,0.17643503624983678,0.0072393135694150956
7,a45690313727,43,5.0,100,100,LU,,0.104952481839,2.0,2.0,2,105.8756251387108,0.55519374495564155,0.01757372690348058
8,a45690313727,51,10.0,100,100,LU,,0.45318970453,2.0,2.0,2,645.3034970678832,2.5152836993854013,0.042223874976028863
9,a45690313727,70,20.0,100,100,LU,,0.00837892317701,2.0,2.0,2,2117.5273626470339,6.7712075972726522,0.10086826101395729
10,a45690313727,225,100.0,100,100,LU,,0.419434879752,2.0,2.0,2,4767.4483737431492,22.543340134717067,0.37140761042933007
11,a45690313727,441,200.0,100,100,LU,,0.199270162579,2.0,2.0,2,6460.3934747490966,31.0417697162686,0.37966665050046478
12,a45690313727,1114,500.0,100,100,LU,,0.113096891212,2.0,2.0,2,10655.750482808218,47.307156329666959,0.38767488660383431
13,a45690313727,2240,1000.0,100,100,LU,,0.0170548977446,2.0,2.0,2,15251.492299991956,63.16051885674203,0.38973862214387262
14,a45690313727,4570,2000.0,100,100,LU,,0.266779710768,2.0,2.0,2,20886.439768877688,79.985998021044452,0.39441236113977196
15,5c4434ccd256,25,1.0,100,100,LU,,0.0165294056612,2.0,2.0,4,24.736660506732093,0.17643503645508218,0.0072393136990687168
16,5c4434ccd256,42,5.0,100,100,LU,,0.104952481839,2.0,2.0,4,105.87402256509873,0.55518659635978374,0.017575645716602084
17,5c4434ccd256,50,10.0,100,100,LU,,0.276794734012,2.0,2.0,4,629.93804633991772,2.4831886955976135,0.042193048617432005
18,5c4434ccd256,61,20.0,100,100,LU,,0.444615342716,2.0,2.0,4,2078.6052359801829,6.5885619378964497,0.091683363529631801
19,5c4434ccd256,106,100.0,100,100,LU,,0.000477116988293,2.0,2.0,4,4801.0967347834558,22.712294465924661,0.37180993197943468
20,5c4434ccd256,167,200.0,100,100,LU,,1.96908172607,2.0,2.0,4,6479.8572341814324,31.148343213495789,0.37967932775363394
21,5c4434ccd256,290,500.0,100,100,LU,,1.22996861185,2.0,2.0,4,10656.438605204328,47.353137645763461,0.38767446778811199
22,5c4434ccd256,494,1000.0,100,100,LU,,1.11578049528,2.0,2.0,4,15233.391721549047,63.110451320741738,0.38974930347523112
23,5c4434ccd256,914,2000.0,100,100,LU,,0.731146421667,2.0,2.0,4,20891.185897124662,80.002018185730151,0.39447671106800108
24,5c4434ccd256,1272,3000.0,100,100,LU,,3.30111887407,2.0,2.0,4,20628.532874372748,80.506140368570925,0.3923161621378029
25,1b69921762d7,25,1.0,200,200,LU,,0.0165294056612,1.0,1.0,2,5.5424326533606827,0.041164197253763725,0.0015588435902190723
26,1b69921762d7,42,5.0,200,200,LU,,0.104952481839,1.0,1.0,2,22.156966665708246,0.12957791988722633,0.0043155523318033628
27,1b69921762d7,51,10.0,200,200,LU,,0.133754448828,1.0,1.0,2,187.53918207421074,0.67417107028964673,0.010891507364836905
28,1b69921762d7,75,20.0,200,200,LU,,0.138685710394,1.0,1.0,2,571.91195821526549,2.0211699091016881,0.038407167135610099
29,1b69921762d7,414,100.0,200,200,LU,,0.18264418547,1.0,1.0,2,1943.9422696187194,14.689619736736926,0.37248420025128393
30,1b69921762d7,888,200.0,200,200,LU,,0.177295433084,1.0,1.0,2,2860.9477932811969,20.422824268002749,0.38525351786896184
31,1b69921762d7,2350,500.0,200,200,LU,,0.139927461183,1.0,1.0,2,5347.918171717828,32.309943791944278,0.39380201440981605
32,1b69921762d7,4816,1000.0,200,200,LU,,0.0743138172249,1.0,1.0,2,8378.8240737837914,44.793335141532211,0.39632606903000955
33,e294583f95a6,25,1.0,200,200,LU,,0.0165294056612,1.0,1.0,4,5.5424326636854433,0.041164197327015095,0.0015588435991223948
34,e294583f95a6,42,5.0,200,200,LU,,0.104952481839,1.0,1.0,4,22.157008386723607,0.12957819601168985,0.0043159714646503478
35,e294583f95a6,50,10.0,200,200,LU,,0.276794734012,1.0,1.0,4,129.85616019767556,0.54632376150746309,0.010600569233537249
36,e294583f95a6,61,20.0,200,200,LU,,0.444615342716,1.0,1.0,4,461.67411011849458,1.5404959938580891,0.024391452540671654
37,e294583f95a6,117,100.0,200,200,LU,,0.305303718863,1.0,1.0,4,1875.5259854731135,14.292696044490787,0.37110648455488521
38,e294583f95a6,180,200.0,200,200,LU,,0.934729375003,1.0,1.0,4,2820.0357111124358,20.209878925321309,0.3849258362434374
39,e294583f95a6,366,500.0,200,200,LU,,0.070877721757,1.0,1.0,4,5317.3321882045211,32.196756799573421,0.39377840309997009
40,e294583f95a6,668,1000.0,200,200,LU,,1.02152403618,1.0,1.0,4,8344.8007108110542,44.682607108505358,0.39632120199189269
41,e294583f95a6,1323,2000.0,200,200,LU,,0.567361257804,1.0,1.0,4,10827.412384630452,54.096303363902251,0.39644450254877606
42,e294583f95a6,1913,3000.0,200,200,LU,,0.577212021417,1.0,1.0,4,12932.724325370751,61.841684843364384,0.39694753322716675
55,3ea82cfb13ea,25,1.0,200,200,LU,,0.0165294056612,1.0,1.0,8,5.5424326636819981,0.041164197327011563,0.0015588435991205074
56,3ea82cfb13ea,42,5.0,200,200,LU,,0.104952481839,1.0,1.0,8,22.157009618382887,0.12957820197869577,0.0043159698382742029
57,3ea82cfb13ea,50,10.0,200,200,LU,,0.276794734012,1.0,1.0,8,130.0367655648725,0.54683742959555504,0.010591397686265824
